Longitude,Latitude,PB_Nreq_Cetin,PB_CSR%
-111.614,37.631,1,7.434
-114.072,37.812,2.011,7.434
-113.848,37.812,2.357,7.434
-113.625,37.812,3.693,7.434
-113.402,37.812,5.666,7.99
-113.178,37.812,8.197,9.588
-112.508,37.812,9.074,10.193
-112.285,37.812,7.079,8.857
-112.061,37.812,5.277,7.796
-111.838,37.812,3.26,7.434
-111.614,37.812,1.595,7.434
-111.391,37.812,1,7.434
-113.625,37.994,2.782,7.434
-113.402,37.994,4.826,7.534
-113.178,37.994,7.188,8.916
-112.508,37.994,9.829,10.792
-112.285,37.994,8.184,9.603
-112.061,37.994,6.709,8.646
-111.838,37.994,4.871,7.603
-111.614,37.994,3.134,7.434
-111.391,37.994,1.119,7.434
-111.168,37.994,1,7.434
-113.402,38.175,3.513,7.434
-113.178,38.175,5.749,8.05
-112.955,38.175,8.246,9.63
-112.731,38.175,9.409,10.461
-112.508,38.175,9.495,10.519
-112.285,38.175,8.815,10.049
-112.061,38.175,7.703,9.297
-111.838,38.175,6.363,8.459
-111.614,38.175,4.538,7.44
-111.391,38.175,2.505,7.434
-111.168,38.175,1,7.434
-110.944,38.175,1,7.434
-113.402,38.357,2.353,7.434
-113.178,38.357,4.458,7.434
-112.955,38.357,6.464,8.473
-112.731,38.357,8.125,9.568
-112.508,38.357,8.836,10.084
-112.285,38.357,9.272,10.407
-112.061,38.357,8.753,10.043
-111.838,38.357,7.644,9.29
-111.614,38.357,6.21,8.406
-111.391,38.357,4.168,7.434
-111.168,38.357,2.164,7.434
-110.944,38.357,1,7.434
-113.178,38.539,3.144,7.434
-112.955,38.539,5.101,7.699
-112.731,38.539,7.04,8.875
-112.508,38.539,8.55,9.876
-112.285,38.539,9.502,10.598
-112.061,38.539,9.73,10.795
-111.838,38.539,8.992,10.255
-111.614,38.539,7.74,9.387
-111.391,38.539,6.036,8.338
-111.168,38.539,3.736,7.434
-110.944,38.539,1.599,7.434
-110.721,38.539,1,7.434
-113.178,38.72,1.944,7.434
-112.955,38.72,3.938,7.434
