Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-110.944,38.812,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.852,38.812,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.76,38.812,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.668,38.812,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.576,38.812,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.484,38.811,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.973,38.868,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.881,38.869,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.789,38.871,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.696,38.872,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.604,38.873,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.512,38.875,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.515872916
-112.42,38.876,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.620363256
-112.328,38.877,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.728073933
-112.235,38.878,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.807811856
-112.143,38.879,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.856704073
-112.051,38.88,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.938684024
-111.959,38.881,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.941484578
-111.867,38.881,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.945976186
-111.774,38.882,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.909699496
-111.682,38.883,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.873214568
-111.59,38.883,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.813048057
-111.405,38.884,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.666602602
-111.313,38.884,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.577507798
-111.221,38.884,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.129,38.884,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.036,38.885,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.944,38.884,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.852,38.884,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.76,38.884,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.667,38.884,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.575,38.884,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.483,38.883,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.391,38.883,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.883,38.941,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.79,38.943,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.698,38.944,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.606,38.946,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.514,38.947,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.421,38.948,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.557702388
-112.329,38.949,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.641044003
-112.237,38.95,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.731241801
-112.144,38.951,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.822196321
-112.052,38.952,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.8627299
-111.96,38.953,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.89821148
-111.867,38.953,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.901118851
-111.775,38.954,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.882357495
-111.683,38.955,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.864033893
-111.59,38.955,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.81486436
-111.498,38.956,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.758682245
-111.406,38.956,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.687432063
-111.313,38.956,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.609101668
