Lon,Lat,D (m)
-111.903,40.41,0.60344
-111.857,40.41,0.73147
-111.811,40.41,0.81132
-111.994,40.445,0.46868
-111.949,40.445,0.58241
-111.903,40.445,0.76334
-111.857,40.445,1.00968
-111.811,40.445,1.10948
-111.765,40.445,0.97091
-111.994,40.48,0.51768
-111.949,40.48,0.66248
-111.903,40.48,0.95509
-111.857,40.48,1.36473
-111.811,40.48,1.7699
-111.765,40.48,1.18075
-111.994,40.516,0.55114
-111.949,40.516,0.70753
-111.903,40.516,1.02924
-111.857,40.516,1.95136
-111.811,40.516,1.85813
-111.765,40.516,1.1779
-111.719,40.516,0.79775
-111.994,40.551,0.5573
-111.949,40.551,0.69279
-111.903,40.551,0.97505
-111.857,40.551,1.31748
-111.811,40.551,2.25403
-111.765,40.551,1.35207
-111.719,40.551,0.86694
-111.994,40.586,0.56116
-111.949,40.586,0.67421
-111.903,40.586,0.834
-111.857,40.586,1.14045
-111.811,40.586,2.07095
-111.765,40.586,1.43163
-111.719,40.586,0.88924
-112.04,40.622,0.53178
-111.994,40.622,0.64451
-111.949,40.622,0.81738
-111.903,40.622,0.96251
-111.857,40.622,1.15098
-111.811,40.622,1.97551
-111.765,40.622,1.36216
-111.719,40.622,0.86008
-112.04,40.657,0.59113
-111.994,40.657,0.7673
-111.949,40.657,1.19114
-111.903,40.657,1.28903
-111.857,40.657,1.44308
-111.811,40.657,1.90293
-111.765,40.657,1.05654
-111.719,40.657,0.72126
-112.04,40.692,0.65085
-111.994,40.692,0.87325
-111.949,40.692,1.57239
-111.903,40.692,1.41484
-111.857,40.692,1.89611
-111.811,40.692,1.31772
-111.765,40.692,1.00511
-112.086,40.728,0.64284
-112.04,40.728,0.72466
-111.994,40.728,1.00129
-111.949,40.728,1.81016
-111.903,40.728,1.47733
-111.857,40.728,1.89716
-111.811,40.728,1.11015
-111.765,40.728,0.80414
-112.086,40.763,0.69904
-112.04,40.763,0.77753
-111.994,40.763,1.04218
-111.949,40.763,2.08232
-111.903,40.763,2.24193
-111.857,40.763,2.06495
-111.811,40.763,1.13781
-112.132,40.798,0.79263
-112.086,40.798,0.76344
-112.04,40.798,0.86023
-111.994,40.798,1.18844
-111.949,40.798,2.34381
-111.903,40.798,2.47978
-111.857,40.798,1.51496
-111.811,40.798,1.05157
-112.086,40.834,0.81024
-112.04,40.834,0.88017
-111.994,40.834,1.1826
-111.949,40.834,1.91403
-111.903,40.834,2.93318
-111.857,40.834,1.7388
-111.811,40.834,1.06507
-111.765,40.834,0.70979
-110.894,40.834,0.2818
-110.848,40.834,0.36048
-112.407,40.869,0.41314
