Longitude,Latitude,DET_ana_Type,***Performance_Based***,PB_amax,PB_Mw,PB_FSliq_Cetin,PB_FSliq_IandB,PB_FSliq_Juang,PB_Nreq_Cetin,PB_Nreq_IandB,PB_Nreq_Juang,PB_ana_Type,PB_Return_P.,PB_CSR%
-109.206435,38.129106,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-108.870914,38.129106,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-114.239242,38.401304,Mean,***|,N/A,N/A,2.631,2.814,N/A,4.462,1,N/A,N/A,1033,7.434
-113.903721,38.401304,Mean,***|,N/A,N/A,2.635,2.814,N/A,4.442,1,N/A,N/A,1033,7.434
-113.568201,38.401304,Mean,***|,N/A,N/A,2.349,2.567,N/A,6.02,2.312,N/A,N/A,1033,8.155
-110.884037,38.401304,Mean,***|,N/A,N/A,2.401,2.559,N/A,5.723,2.359,N/A,N/A,1033,8.182
-110.548517,38.401304,Mean,***|,N/A,N/A,3.065,2.814,N/A,2.356,1,N/A,N/A,1033,7.434
-110.212996,38.401304,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.877,38.401,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.542,38.401,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.206,38.401,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-108.871,38.401,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-114.239,38.674,Mean,***|,N/A,N/A,2.643,2.814,N/A,4.399,1,N/A,N/A,1033,7.434
-113.904,38.674,Mean,***|,N/A,N/A,2.778,2.814,N/A,3.711,1,N/A,N/A,1033,7.434
-113.568,38.674,Mean,***|,N/A,N/A,2.568,2.804,N/A,4.794,1.055,N/A,N/A,1033,7.463
