Lon,Lat,D (m)
-111.994,41.222,2.51711
-111.949,41.222,4.61533
-112.636,41.257,1.05859
-112.59,41.257,1.53368
-112.544,41.257,2.42615
-112.499,41.257,3.36503
-112.453,41.257,1.51313
-112.132,41.257,1.06212
-112.086,41.257,1.37827
-112.04,41.257,2.04419
-111.994,41.257,2.97043
-111.949,41.257,5.13849
-111.903,41.257,3.10573
-112.59,41.292,1.40687
-112.544,41.292,2.33602
-112.178,41.292,0.91524
-112.132,41.292,1.14034
-112.086,41.292,1.48809
-112.04,41.292,2.2202
-111.994,41.292,3.21439
-111.949,41.292,5.08197
-111.903,41.292,3.07137
-112.178,41.328,0.90005
-112.132,41.328,1.16988
-112.086,41.328,1.67678
-112.04,41.328,2.44814
-111.994,41.328,3.92686
-111.949,41.328,6.05484
-111.903,41.328,3.2455
-111.857,41.328,1.92746
-112.178,41.363,0.92255
-112.132,41.363,1.23428
-112.086,41.363,2.00482
-112.04,41.363,3.23748
-111.994,41.363,4.81034
-111.949,41.363,3.91198
-111.903,41.363,2.64678
-111.857,41.363,1.71529
-112.178,41.398,0.89137
-112.132,41.398,1.33199
-112.086,41.398,1.91516
-112.04,41.398,4.05824
-111.994,41.398,2.94165
-111.949,41.398,2.33216
-111.903,41.398,1.82289
-112.178,41.434,0.86929
-112.132,41.434,1.18557
-112.086,41.434,1.92059
-112.04,41.434,4.29244
-111.994,41.434,2.3665
-111.949,41.434,1.67259
-112.178,41.469,0.8183
-112.132,41.469,1.11044
-112.086,41.469,1.66968
-112.04,41.469,3.15698
-111.994,41.469,3.84771
-111.949,41.469,1.79244
-111.903,41.469,1.2531
-112.178,41.504,0.72368
-112.132,41.504,0.95578
-112.086,41.504,1.30932
-112.04,41.504,2.10638
-111.994,41.504,4.32673
-111.949,41.504,2.04257
-111.903,41.504,1.22166
-112.178,41.539,0.7323
-112.132,41.539,1.01614
-112.086,41.539,1.53122
-112.04,41.539,2.94052
-111.994,41.539,4.17579
-111.949,41.539,1.63134
-111.903,41.539,1.09874
-112.178,41.575,0.82395
-112.132,41.575,1.14125
-112.086,41.575,1.70997
-112.04,41.575,4.14261
-111.994,41.575,2.33859
-111.949,41.575,1.31803
-112.132,41.61,1.30606
-112.086,41.61,2.42985
-112.04,41.61,4.04923
-111.994,41.61,1.78247
-111.949,41.61,1.29942
-112.086,41.645,2.58594
-112.04,41.645,3.61568
-111.994,41.645,1.58707
-112.997,37.74,0.41826
-112.916,37.74,0.67491
-112.836,37.74,0.75566
-112.997,37.802,0.44922
-112.916,37.802,0.93259
-112.836,37.802,2.44989
-112.756,37.802,0.85155
-112.997,37.864,0.36375
-112.916,37.864,0.58128
-112.836,37.864,1.05405
-112.756,37.864,2.38195
-112.676,37.864,0.62301
-112.916,37.926,0.37632
-112.836,37.926,0.71798
-112.756,37.926,2.41792
-112.676,37.926,0.9317
-112.916,37.988,0.31196
-112.836,37.988,0.49291
-112.756,37.988,1.00114
-112.676,37.988,1.1282
-112.836,38.049,0.36227
-112.756,38.049,0.49151
-112.676,38.049,0.49422
-111.953,39.717,0.688
-111.873,39.717,1.22012
-111.793,39.717,1.40165
-111.953,39.779,0.76109
-111.873,39.779,1.4001
-111.793,39.779,1.72237
-111.953,39.84,0.81703
-111.873,39.84,1.43215
-111.793,39.84,3.15795
