Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.221,38.812,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.59943364
-111.129,38.812,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.383901119
-111.036,38.812,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.164810389
-110.944,38.812,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.957702642
-110.852,38.812,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.814074353
-110.76,38.812,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.66680442
-110.668,38.812,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.529742126
-110.576,38.812,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.484,38.811,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-112.973,38.868,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.560294467
-112.881,38.869,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.693374903
-112.789,38.871,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.827939875
-112.696,38.872,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.044875448
-112.604,38.873,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.307938421
-112.512,38.875,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.572515248
-112.42,38.876,Mean,***|,N/A,1033,0.001901255,0.190125533,0,0,0.001901255,0,0.505284367,1.854210285
-112.328,38.877,Mean,***|,N/A,1033,0.001373985,0.137398493,0,0,0.001373985,0,0.669376627,2.130490975
-112.235,38.878,Mean,***|,N/A,1033,0.001016962,0.101696185,0,0,0.001016962,0,0.824778131,2.363365177
-112.143,38.879,Mean,***|,N/A,1033,0.002638353,0.263835259,0,0,0.002638353,0,0.900564123,2.486625762
-112.051,38.88,Mean,***|,N/A,1033,0.002205095,0.220509505,0,0,0.002205095,0,1.055273362,2.720774081
-111.959,38.881,Mean,***|,N/A,1033,0.002256423,0.225642259,0,0,0.002256423,0,1.046904032,2.709037982
-111.867,38.881,Mean,***|,N/A,1033,0.002156266,0.215626581,0,0,0.002156266,0,1.047786796,2.716374315
-111.774,38.882,Mean,***|,N/A,1033,0.002438244,0.24382437,0,0,0.002438244,0,0.976761543,2.625190983
-111.682,38.883,Mean,***|,N/A,1033,0.002566286,0.256628615,0,0,0.002566286,0,0.951337264,2.579322847
