Longitude,Latitude,PB_Nreq_Cetin,PB_CSR%
-109.642384,36.858585,1,7.434
-109.081841,36.858585,1,7.434
-109.642384,37.31172,1,7.434
-109.081841,37.31172,1,7.434
-109.642384,37.764854,1,7.434
-109.081841,37.764854,1,7.434
-109.642384,38.217989,1,7.434
-112.226119,36.768117,5.562,7.893
-111.890599,36.768117,4.381,7.434
-111.555078,36.768117,3.216,7.434
-111.219558,36.768117,1.865,7.434
-110.884037,36.768117,1,7.434
-110.548517,36.768117,1,7.434
-110.212996,36.768117,1,7.434
-112.226119,37.040314,6.3,8.307
-111.890599,37.040314,4.418,7.434
-111.555078,37.040314,3.129,7.434
-111.219558,37.040314,2.054,7.434
-110.884037,37.040314,1,7.434
-110.548517,37.040314,1,7.434
-110.212996,37.040314,1,7.434
-112.226119,37.312512,7.955,9.338
-111.890599,37.312512,5.658,7.952
-111.555078,37.312512,3.921,7.434
-111.219558,37.312512,1.882,7.434
-110.884037,37.312512,1,7.434
-110.548517,37.312512,1,7.434
-110.212996,37.312512,1,7.434
-111.890599,37.58471,7.681,9.185
-111.555078,37.58471,5.309,7.836
-111.219558,37.58471,2.72,7.434
-110.884037,37.58471,1.197,7.434
-110.548517,37.58471,1,7.434
-110.212996,37.58471,1,7.434
-113.903721,37.856908,7.029,8.757
-111.219558,37.856908,4.506,7.472
-110.884037,37.856908,2.338,7.434
-110.548517,37.856908,1,7.434
-110.212996,37.856908,1,7.434
-114.239242,38.129106,5.522,7.847
-113.903721,38.129106,5.612,7.888
-113.568201,38.129106,7.569,9.084
-110.884037,38.129106,3.802,7.434
-110.548517,38.129106,1.11,7.434
-110.212996,38.129106,1,7.434
-109.206435,38.129106,1,7.434
-108.870914,38.129106,1,7.434
-114.239242,38.401304,4.462,7.434
-113.903721,38.401304,4.442,7.434
-113.568201,38.401304,6.02,8.155
-110.884037,38.401304,5.723,8.182
-110.548517,38.401304,2.356,7.434
-110.212996,38.401304,1,7.434
-109.877,38.401,1,7.434
-109.542,38.401,1,7.434
-109.206,38.401,1,7.434
-108.871,38.401,1,7.434
-114.239,38.674,4.399,7.434
-113.904,38.674,3.711,7.434
-113.568,38.674,4.794,7.463
-113.233,38.674,6.82,8.62
-110.549,38.674,4.426,7.501
-110.213,38.674,1.176,7.434
-109.877,38.674,1,7.434
-109.542,38.674,1,7.434
-109.206,38.674,1,7.434
-108.871,38.674,1,7.434
-114.239,38.946,4.208,7.434
-113.904,38.946,3.377,7.434
-113.568,38.946,3.632,7.434
-113.233,38.946,5.329,7.749
-110.213,38.946,2.876,7.434
-109.877,38.946,1,7.434
