Lon,Lat,D (m)
-111.903,40.41,0.13057
-111.857,40.41,0.13231
-111.811,40.41,0.13146
-111.994,40.445,0.13423
-111.949,40.445,0.13997
-111.903,40.445,0.1442
-111.857,40.445,0.14539
-111.811,40.445,0.14311
-111.765,40.445,0.13805
-111.994,40.48,0.15265
-111.949,40.48,0.16003
-111.903,40.48,0.16508
-111.857,40.48,0.16527
-111.811,40.48,0.16051
-111.765,40.48,0.1523
-111.994,40.516,0.17843
-111.949,40.516,0.18857
-111.903,40.516,0.19418
-111.857,40.516,0.19221
-111.811,40.516,0.18434
-111.765,40.516,0.17236
-111.719,40.516,0.15701
-111.994,40.551,0.21097
-111.949,40.551,0.2267
-111.903,40.551,0.23414
-111.857,40.551,0.22819
-111.811,40.551,0.21382
-111.765,40.551,0.19502
-111.719,40.551,0.17388
-111.994,40.586,0.25371
-111.949,40.586,0.28082
-111.903,40.586,0.29282
-111.857,40.586,0.27978
-111.811,40.586,0.25197
-111.765,40.586,0.2227
-111.719,40.586,0.19245
-112.04,40.622,0.26669
-111.994,40.622,0.31852
-111.949,40.622,0.38573
-111.903,40.622,0.40231
-111.857,40.622,0.36069
-111.811,40.622,0.30436
-111.765,40.622,0.25459
-111.719,40.622,0.21258
-112.04,40.657,0.30863
-111.994,40.657,0.39645
-111.949,40.657,0.56228
-111.903,40.657,0.59085
-111.857,40.657,0.47102
-111.811,40.657,0.35923
-111.765,40.657,0.2854
-111.719,40.657,0.22612
-112.04,40.692,0.34928
-111.994,40.692,0.45762
-111.949,40.692,0.66711
-111.903,40.692,0.64688
-111.857,40.692,0.50255
-111.811,40.692,0.3845
-111.765,40.692,0.30264
-112.086,40.728,0.32808
-112.04,40.728,0.38373
-111.994,40.728,0.51187
-111.949,40.728,0.73896
-111.903,40.728,0.64958
-111.857,40.728,0.508
-111.811,40.728,0.38305
-111.765,40.728,0.29052
-112.086,40.763,0.34456
-112.04,40.763,0.38906
-111.994,40.763,0.5078
-111.949,40.763,0.83323
-111.903,40.763,0.74017
-111.857,40.763,0.52133
-111.811,40.763,0.37891
-112.132,40.798,0.33265
-112.086,40.798,0.36342
-112.04,40.798,0.40796
-111.994,40.798,0.53986
-111.949,40.798,0.9316
-111.903,40.798,0.67778
-111.857,40.798,0.47302
-111.811,40.798,0.34426
-112.086,40.834,0.36282
-112.04,40.834,0.39219
-111.994,40.834,0.48272
