Long,Lat,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.129,38.884,0.503030739,0.358796988,2.633316487,4.832761891
-111.036,38.885,0.409719078,0.266820566,2.341178383,4.526895125
-110.944,38.884,0.332524421,0.159299562,1.82807497,3.911176131
-110.852,38.884,0.218282183,0,1.525608302,3.52830384
-110.76,38.884,0.107127305,0,1.196269367,3.056648574
-110.667,38.884,0.173815722,0,0.907121204,2.620491587
-110.575,38.884,0,0,0.692601878,2.252382325
-110.483,38.883,0,0,0.5,1.920898298
-110.391,38.883,0,0,0.5,1.609217684
-112.883,38.941,0,0,0.5,1.822131541
-112.79,38.943,0.126536923,0,0.739761883,2.210369619
-112.698,38.944,0.248611358,0,1.018299564,2.668147361
-112.606,38.946,0.326862578,0.195418988,1.440024591,3.202716238
-112.514,38.947,0.411877386,0.113939025,1.926824904,3.812662977
-112.421,38.948,0.658458682,0.362618101,2.667089071,4.634188648
-112.329,38.949,0.743867326,0.418513248,3.23503552,5.22146435
-112.237,38.95,0.839949726,0.665433699,3.784445133,5.766891538
-112.144,38.951,0.95066678,0.71577736,4.343085952,6.311012247
-112.052,38.952,0.916338238,0.85022288,4.612838982,6.581971921
-111.96,38.953,1.077073234,0.97939911,4.876149867,6.824517649
-111.867,38.953,1.054791436,0.932722873,5.092760944,7.028960974
-111.775,38.954,1.090669475,0.993132439,4.905926844,6.884905465
-111.683,38.955,0.902210297,0.809540653,4.835323641,6.823471296
-111.59,38.955,0.939912113,0.873942147,4.601672322,6.642406011
-111.498,38.956,0.977966549,0.727937857,4.467507015,6.549508531
-111.406,38.956,0.82941357,0.606352557,4.174249807,6.282119055
-111.313,38.956,0.710613602,0.524066944,3.710218487,5.896594192
-111.221,38.956,0.606847335,0.450285933,3.246160191,5.447410159
-111.129,38.957,0.676706199,0.33157412,2.934993834,5.151762712
-111.036,38.957,0.577892817,0.234635945,2.49394663,4.693456061
-110.944,38.957,0.483145275,0.117599378,1.870403593,3.947136104
-110.852,38.957,0.386929544,0.189940962,1.499910425,3.486833272
-110.759,38.956,0.282515758,0,1.303898061,3.217000333
